kandidat,parti,region,stemmer
"Helle Lausten, Aabenraa",Venstre,Syddanmark,871
"Henrik Hjortshøj, Aarhus",Venstre,Midtjylland,868
"Kasper Venning, Viborg",SF,Midtjylland,866
"Ole Holm Petersen, Ærø",Venstre,Syddanmark,866
"Carsten Ullmann Andersen, Brønderslev",Danmarksdemokraterne,Nordjylland,864
"Lisbeth Skov, Allerød",Venstre,Østdanmark,863
"Bo Sand Kristensen, Ikast-Brande",Danmarksdemokraterne,Midtjylland,863
"Finn Brostrup, Ikast-Brande",Dansk Folkeparti,Midtjylland,858
"Jarl Feyling, København",Socialdemokratiet,Østdanmark,856
"Søren Friis Trebbien, Hvidovre",Konservative,Østdanmark,854
"Jens Nygaard, Frederikshavn",Danmarksdemokraterne,Nordjylland,853
"Jan Månsson, Sorø",Socialdemokratiet,Østdanmark,850
"Ruben Kidde, Frederiksberg",Radikale,Østdanmark,847
Abdinoor Adam Hassan,Moderaterne,Syddanmark,845
"Louise Høeg, Randers",Venstre,Midtjylland,839
"Jens William Grav, Fredericia",Socialdemokratiet,Syddanmark,839
"Lau Sørensen, Holstebro",Konservative,Midtjylland,836
"Kaj Refslund, Nyborg",Venstre,Syddanmark,835
"Bob Richard Nielsen, Guldborgsund",Danmarksdemokraterne,Østdanmark,834
"Phillip Sperling, Aalborg",Venstre,Nordjylland,834
"Marcus Juul Grønbæk, Ringkøbing-Skjern",Danmarksdemokraterne,Midtjylland,829
"Ann-Sophie Christensen, Odense C",Alternativet,Syddanmark,828
"Gunver Birgitte Nielsen, Haderslev",Konservative,Syddanmark,825
Jan Herskov,Dansk Folkeparti,Østdanmark,822
"Tenna Røberg, Aarhus",Dansk Folkeparti,Midtjylland,820
"Thomas Baark, Guldborgsund",Radikale,Østdanmark,815
"Susanne Lund, Aarhus",Konservative,Midtjylland,814
"Vibeke Westh, Frederiksberg",Socialdemokratiet,Østdanmark,813
"Lotte Finck, Aalborg",Konservative,Nordjylland,813
"Anne Møllegaard Mortensen, Faaborg-Midtfyn",Dansk Folkeparti,Syddanmark,812
"Birgitte Sørensen, Vesthimmerland",Danmarksdemokraterne,Nordjylland,812
"Jesper Flensted, Hedensted",Dansk Folkeparti,Midtjylland,810
"Lars Hoppe Søe, Næstved",Radikale,Østdanmark,808
"Thomas Majgaard Byrsing, Kolding",Danmarksdemokraterne,Syddanmark,803
"Emilie U. Andersen-Ranberg, Hørsholm",Radikale,Østdanmark,802
"Beatrice W. Korsholm, Horsens",Dansk Folkeparti,Midtjylland,801
"Flemming Sørensen, Holbæk",Liberal Alliance,Østdanmark,800
"Kirsten Sander Iversen, Hedensted",Danmarksdemokraterne,Midtjylland,795
"Lisa Castro Jensen, Struer",Liberal Alliance,Midtjylland,794
"Thomas Garfort, Rønne",SF,Østdanmark,788
"Alina Racila, Tønder",Socialdemokratiet,Syddanmark,785
Mikael Simonsen,Liberal Alliance,Nordjylland,784
Mette Nielsen,Y,Midtjylland,783
"Mogens Anneberg, Bornholm",Konservative,Østdanmark,782
"Felex Pedersen, Odsherred",Socialdemokratiet,Østdanmark,778
"Camilla Hoffmann, København",Socialdemokratiet,Østdanmark,773
"Lars Mogensen, Esbjerg",Enhedslisten,Syddanmark,771
"Dorthe Mehlberg, Sønderborg",Danmarksdemokraterne,Syddanmark,768
"Esther Daugaard, Århus",Enhedslisten,Midtjylland,758
"Ida Smed, Aabenraa",Danmarksdemokraterne,Syddanmark,757
"Vibeke Grønbæk, Vordingborg",Radikale,Østdanmark,757
"John Schmidt Andersen, Frederikssund",Venstre,Østdanmark,756
"Alex Klein, Thisted",Konservative,Nordjylland,751
"Christian Martens, Billund",Danmarksdemokraterne,Syddanmark,750
"Frederik Edelskov, Sønderborg",Venstre,Syddanmark,750
"Oruc Polat, Albertslund",Radikale,Østdanmark,747
"Per Roswall, Gribskov",Venstre,Østdanmark,745
"Peter Nikolajsen, Esbjerg",Liberal Alliance,Syddanmark,744
"Birgitte Majgaard, Galten",Konservative,Midtjylland,735
"Gerda Nørgaard, Hjørring",SF,Nordjylland,732
"Annemette Bach, Vesthimmerlands Kommune",SF,Nordjylland,730
"Dorthe le Fèvre, Ebeltoft",Konservative,Midtjylland,727
"Kirsten Gaulshøj, Esbjerg",Dansk Folkeparti,Syddanmark,723
"Nicolai Estrup, Randers",Dansk Folkeparti,Midtjylland,722
"Sara Smith Hald, Valby",Socialdemokratiet,Østdanmark,720
